Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C4, C7, C8, C9",0402,6,100n/25V,C106256
C2,0402,1,1µ/25V,C967571
C3,0402,1,1n/25V,C575438
C5,0603,1,470nF/50V,C77572
C6,CP_EIA-7343-31_Kemet-D,1,100µF/16V,C171666
"H1, H2",MountingHole_2.7mm_M2.5,2,MountingHole,
IC1,SOT230P700X180-4N,1,LM2940IMP-5.0_NOPB,C13991
"J1, J9",TerminalBlock_RND_205-00046_1x03_P5.00mm_Horizontal,2,Screw_Terminal_01x03,
J10,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"J11, J8",PinHeader_1x16_P2.54mm_Vertical,2,Conn_01x16,
"J12, J13",PinHeader_1x06_P2.54mm_Vertical,2,Conn_01x06,
"J14, J2, J3, J4, J5, J6",PinHeader_1x01_P2.54mm_Vertical,6,~,
J7,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
"JP1, JP10, JP18, JP19, JP4, JP5",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,6,SolderJumper_3_Open,
"JP11, JP12, JP13, JP14, JP15, JP16, JP17, JP2, JP3, JP6, JP7, JP8, JP9",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,13, ,
"Q1, Q2, Q3",SOIC-8_3.9x4.9mm_P1.27mm,3,AO4402G,C2931062
"R1, R2, R7, R8",0402,4,3k3,C965263
R10,0402,1,3k6/0.1%,C186338
R11,0402,1,220,C102889
"R12, R3, R4, R5, R6",0402,5,10k,C25744
"R13, R15",0402,2,931,C35293
"R14, R16",0402,2,1k8,C170383
"R17, R18, R19, R20",0402,4,4k7,C25900
R9,0402,1,12k/0.1%,C186350
SW1,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,SW_Omron_B3FS,C271751
U1,SOP-4_3.8x4.1mm_P2.54mm,1,G3VM-61VY2,C1558855
U2,SOT-23-6,1,TPS22918DBVR,C131941
U3,WEMOS_S2_Mini,1,S2 Mini,
"U4, U5",Texas_S-PVQFN-N14,2,TXB0104RGY,C400708
